user	tweets	stance	stance (A2)		
799	One Ring to rule them all One Ring to find them One Ring to bring them all And in the darkness bind them #VoteLeave https://t.co/twcRr8xBy0	1	1		README
3395	I'm going to "Vote In - Another Europe Is Possible with Yanis Varoufakis and many more". https://t.co/gEPeaj4ZgL #VoteRemain  |  WTF? Michael Gove now hates vested interests. Who funds Tory party? @pestononsunday #Peston #bbcdp #bbcsp #c4news https://t.co/IFYyVUIUTp  |  Prof John Curtice’s poll of polls [bit late as I’ve been out all day] still at 48/52. #EURef https://t.co/gbj5Y6ZY8c  |  "Corbyn wouldn't let me go to the Commons tuck shop because I voted for Trident!" claims Labour backbencher. #LabourBullying	-1	-1		LEAVE: 1
1668	Painful to watch Cameron's desperation this morning on #Marr Cold hard fact on EU trade below #VoteLeave Go Global https://t.co/FryxkvI3TT  |  53 YEARS IN THE CITY: David Buik blasts Remain's scaremongering and says #VoteLeave  https://t.co/jrNAPkpLqW https://t.co/gtR3H27NCO  |  Unelectable signed away YOUR democracy to the unaccountable Your one chance to take it back. 23rdJune2016 #VoteLeave https://t.co/cMNT4Y1LuA  |  On Thursday I will be voting for hope, freedom, democracy and sovereignty #Brexit	1	1		REMAIN: -1
2277	Knowing how corrupt and bullying the #EU is, if we weren't already a member would we join it?  DON'T think so! #GO #UKIP #Brexit #LeaveEU  |  Such a bad idea. What are the #eu thinking? One reason why I'll #VoteLeave https://t.co/jiTNk8PmGQ  |  The President of Iceland says #Brexit is good news and offers great opportunities for both Iceland and Britain.  https://t.co/mOTuN68qAX	1	1		NEUTRAL: 0
7283	Thanks to our volunteers in sunny Perth this morning! #StrongerIn https://t.co/q44FjdDtdL  |  Cross party campaign as @tom_watson, Deputy Leader of @UKLabour joined #StrongerIn volunteers in #Telford today https://t.co/iTYDRhB5yb  |  #r4today Redwood MP, All Souls fellow, says IFS part of establishment.  He means it's another body whose evidence he dismisses. #StrongerIN  |  If there anyone who hasn't commented and pointed out how bad #Brexit would be for the UK. #StrongerIn https://t.co/lBqgftJxfd  |  Friends, the most important thing you'll ever have, you look after them, they look after you. I #VotefFriends I #VoteRemain #StrongerIN :)  |  This vision of hope... #StrongerIN.  I saw postwar Europe unite. We can’t let it unravel | Patrick Stewart https://t.co/axceUO7U0q  |  Great summary!  @Reasons2Remain #VoteRemain #StrongerIn @havantlibdems https://t.co/KRjWEJcVqP  |  #StrongerIn team in #Leek #Staffordshire joined this morning by local MP and Govt Minister Karen Bradley today https://t.co/hOvol4WWBv  |  Doing brilliantly so far in the Regatta. These rowers are definitely #StrongerIn  @NEStrongerIn https://t.co/RPwpoMMiLY  |  Rupert Murdoch! DON'T do what he says! #VoteRemain #StrongerIn instead! Otherwise it's Tory austerity on steroids!!! https://t.co/4WvmvbCDL4  |  Why trust him? He does not have the answers #StrongerIn https://t.co/ZkZXlkFuZm	-1	-1		
7547	#Brexit #VoteLeave Just so you know who's who, and their calibre (sic). https://t.co/0TSIv7q3cC	1	1		
6222	Please, all you lefties who've been supporting #LabourCoup - recognise that you've been strung out on lies and stop them abusing you.	-1	1		
1540	Margaret Thatcher felt 20 years ago the #EU integration had already gone too far with the Maastricht Treaty. #Brexit https://t.co/bxXir2sLiG	1	1		
798	Agree with my Dad's review of #bbcaq  @EmilyThornberry &amp; Ken Clarke brilliant Chris Grayling embarrassed Ukipper nasty! Sums up #Brexit	-1	-1		
6929	Even the Dalai Lama says there are 'too many refugees in Europe' https://t.co/3R45To65I0  #brexitthemovie #voteleave #wales #marrshow #marr  |  WATCH: Britain's Top Investor Jim Mellon backs Boris and Gove on Euro Concerns https://t.co/NCLzNIRW8H #VoteLeave https://t.co/kDZyrrJY08	1	1		
